SITE_NAME,Season,n_rows
Tikao Bay mid beach,2015-2016,15
Tikao Bay mid beach,2016-2017,15
Tikao Bay mid beach,2017-2018,15
Tikao Bay mid beach,2018-2019,21
Tikao Bay mid beach,2019-2020,16
Tikao Bay mid beach,2020-2021,16
Tikao Bay mid beach,2021-2022,18
Tikao Bay mid beach,2022-2023,17
Tikao Bay mid beach,2023-2024,34
Timaru Coast Caroline Bay at Virtue Avenue,2013-2014,16
Timaru Coast Caroline Bay at Virtue Avenue,2014-2015,16
Timaru Coast Caroline Bay at Virtue Avenue,2015-2016,17
Timaru Coast Caroline Bay at Virtue Avenue,2016-2017,16
Timaru Coast Caroline Bay at Virtue Avenue,2017-2018,16
Timaru Coast Caroline Bay at Virtue Avenue,2018-2019,22
Timaru Coast Caroline Bay at Virtue Avenue,2019-2020,15
Timaru Coast Caroline Bay at Virtue Avenue,2020-2021,21
Timaru Coast Caroline Bay at Virtue Avenue,2021-2022,17
Timaru Coast Caroline Bay at Virtue Avenue,2022-2023,14
Timaru Coast Caroline Bay at Virtue Avenue,2023-2024,22
Timaru Coast at yacht club jetty,2013-2014,15
Timaru Coast at yacht club jetty,2014-2015,15
Timaru Coast at yacht club jetty,2015-2016,17
Timaru Coast at yacht club jetty,2016-2017,15
Timaru Coast at yacht club jetty,2017-2018,15
Timaru Coast at yacht club jetty,2018-2019,20
Timaru Coast at yacht club jetty,2019-2020,15
Timaru Coast at yacht club jetty,2020-2021,19
Timaru Coast at yacht club jetty,2021-2022,17
Timaru Coast at yacht club jetty,2022-2023,14
Timaru Coast at yacht club jetty,2023-2024,22
Wainui Beach Wainui Beach,2013-2014,15
Wainui Beach Wainui Beach,2014-2015,15
Wainui Beach Wainui Beach,2015-2016,15
Wainui Beach Wainui Beach,2016-2017,15
Wainui Beach Wainui Beach,2017-2018,15
Wainui Beach Wainui Beach,2018-2019,18
Wainui Beach Wainui Beach,2019-2020,16
Wainui Beach Wainui Beach,2020-2021,15
Wainui Beach Wainui Beach,2021-2022,17
Wainui Beach Wainui Beach,2022-2023,23
Wainui Beach Wainui Beach,2023-2024,34
